Object,short_edge,long_edge,drape,measured_area,plate_diam,px_cm,t_upper,t_lower
T_shirt_gray,22,30,35.1,317,13,1061,500,1000
tank_black,12,23,67.8,199,7,1061,500,1000
jeans,21,27,100,589,12,1061,500,1000
sweater_gray,22,33,77.5,588,12,1061,500,1000
sweater_black,23,30,91.5,641,12,1061,500,1000
hoodie,26,40,60.6,700,15,1061,500,1000
jacket_denim,24,38,87.4,819,15,1061,500,1000
black_pants,21,25,98.8,520,12,1061,500,1000
black_jeans,20,26,100,533,12,1061,500,1000
tank_white,12,22,79,217,7,1061,100,400
T_shirt_gray,22,30,35.1,318,13,1061,100,400
