object,stiffness,short,long,measured_area,plate,px_to_cm,t_low,t_up,resize
black_flowers_v,38.5,17,23,199,10,370,0,1000,0.3
black_v,33.6,17,30,223,10,370,4000,1000,0.3
denim_v,81.6,17,25,361,10,370,4000,1000,0.3
brown_v,61.1,20,22,313,12,370,0,1000,0.3
green_wool_v,84.2,16,28,390,10,370,0,1000,0.3
black_wool_v,43.3,17,31,273,10,370,0,1000,0.3
black_white_v,58.5,18,25,303,11,370,0,1000,0.3
brownish_v,61.1,17,32,363,10,370,0,1000,0.3
white_thin_h,55.2,14,31,268,9,370,0,1000,0.3
dark_blue_thick_wool_v,85.5,14,26,319,8,370,0,1000,0.3
white_thick_knit_v,49,19,32,346,11,370,0,1200,0.3
dark_blue_thin_v,71.6,16,24,297,10,370,0,1000,0.3
red_v,35.4,17,30,231,10,370,0,1000,0.3
flowers_gray_v,32,18,30,238,11,370,0,1000,0.3
dark_gray_v,40,18,31,280,11,370,0,1000,0.3
light_blue_elastane_v,35.3,16,32,232,10,370,600,650,0.3
maroon_v,39.1,17,31,254,10,370,0,1000,0.3
black1_v,42.6,19,31,305,11,370,4000,1000,0.3
black_bluish_v,45.6,17,30,275,10,370,0,1000,0.3
pink_v,41,18,30,277,11,370,4000,1000,0.3
light_blue_v,85.2,18,24,382,11,370,200,600,0.3
pink_velvet_v,41.9,16,25,213,10,370,0,1000,0.3
dark_blue_lace_v,69.2,17,24,312,11,370,0,1000,0.3
yellow_lace_v,49.1,18,23,251,11,370,0,1000,0.3
gray_lace_thick_v,66.4,17,24,303,11,370,0,1000,0.3
black_lace_v,52.8,18,24,273,11,370,0,1000,0.3
dot_lace_v,47.4,17,25,243,10,370,0,1000,0.3
black_sequins_v,55.3,17,24,261,10,370,4000,1000,0.3
strange_print_v,58.9,16,24,259,10,370,0,1000,0.3
elastic_red_v,50.7,17,24,254,11,370,0,1000,0.3
light_pink_v,48.1,18,30,309,11,370,4000,1000,0.3
blue_lines_v,40.8,17,24,213,10,370,0,1000,0.3
gray_padded_v,70.4,17,24,310,10,370,0,1000,0.3
bright_blue_lines_v,55.9,17,25,272,10,370,0,1000,0.3
squared_red_v,56.3,17,25,273,10,370,0,1000,0.3
leopard_v,61.5,17,24,281,10,370,0,1000,0.3
