object,stiffness,short,long,measured_area,plate,px_to_cm,t_low,t_up,resize
sm_towel,20.4,30,50,508,18,370,0,1000,0.3
med_towel,18.3,45,50,879,27,370,0,400,0.3
big_towel,72.4,37,45,1310,22,370,0,500,0.3
bedsheet,67.7,35,40,1059,21,370,0,500,0.3
fit_bedsheet,33.3,50,50,1304,30,370,0,500,0.3
sq_pillowc,47.9,34,34,717,20,370,0,500,0.3
rect_pillowc,24.1,26,45,435,16,370,0,500,0.3
rd_tablecloth,75.4,35,35,1009,21,370,0,500,0.3
rect_tablecloth,47,32,42,815,21,370,0,500,0.3
cotton_napkin,4,50,50,778,30,370,0,500,0.3
linen_napkin,9.2,50,50,872,30,370,0,500,0.3
towel_rag,21.4,35,50,646,21,370,0,500,0.3
linen_rag,16.2,35,50,574,21,370,0,500,0.3
waffle_rag,21.8,35,50,653,21,370,0,500,0.3
checkered_rag,15.5,35,50,564,21,370,0,1000,0.3
