object,stiffness,short,long,measured_area,plate,px_to_cm,t_low,t_up,resize
sm_towel,14,30,50,508,21,370,1000,0,0.3
med_towel,18.3,45,50,879,27,370,0,400,0.3
big_towel,73.1,37,45,1310,21,370,1000,0,0.3
bedsheet,59.2,34,41,1059,27,370,1000,0,0.3
fit_bedsheet,37.9,50,50,1304,27,370,1000,0,0.3
sq_pillowc,45.8,34,34,717,21,370,1000,0,0.3
rect_pillowc,24.9,27,45,435,15,370,0,500,0.3
rect_tablecloth,47.5,31,43,815,21,370,1000,0,0.3
rd_tablecloth,75.4,35,35,1009,21,370,1000,0,0.3
cotton_napkin,11.5,48,49,777,27,370,1000,0,0.3
linen_napkin,16,49,50,872,27,370,1000,0,0.3
towel_rag,23.1,35,50,646,20,370,1000,0,0.3
linen_rag,16.2,35,50,573,21,370,1000,0,0.3
waffle_rag,21.8,35,50,652,21,370,1000,0,0.3
checkered_rag,15.5,35,50,564,21,370,1000,0,0.3
