object,stiffness,short,long,measured_area,plate,px_to_cm,t_low,t_up,resize
tank_white,80.2,12,22,219,7,1047,440,150,0.4
tank_black,72.6,12,22,202,7,1047,1000,500,0.4
T_shirt_gray,31.4,23,30,322,14,1047,1000,500,0.4
sweater_gray,78.1,22,33,596,13,1047,1000,500,0.4
sweater_black,92.4,23,30,649,14,1047,1000,500,0.4
hoodie,60.6,26,40,710,16,1047,1000,500,0.4
jacket_denim,89.2,24,38,830,14,1047,1000,500,0.4
black_pants,95.4,21,26,527,13,1047,1000,500,0.4
black_jeans,98.6,21,26,540,13,1047,1000,500,0.4
jeans,96.1,22,28,597,13,1047,1000,500,0.4
